"FACILITY_ID","NURSING_UNIT_CODE","LONG_DESC","SHORT_DESC","NURSING_UNIT_TYPE_CODE","LOCN_TYPE","AGE_GROUP_CODE","DEPT_CODE","SERVICE_CODE","FS_LOCN_CODE","INCL_FOR_HOSP_OCCUP_CALC_YN","ALLOW_EMERG_TRF_YN","TEMPORARY_LOCATION_YN","TEACHING_LOCATION_YN","ALLOW_PSEUDO_BED_YN","GENERATE_PSEUDO_BED_SRL_YN","CHECK_SAME_SEX_IN_ROOM_YN","PREFIX_FOR_PSEUDO_BED_SRL_NO","NEXT_PSEUDO_BED_SRL","MAX_PSEUDO_BED_SRL","NUM_OF_BEDS","NUM_OF_PSEUDO_BEDS","NUM_OF_BEDS_OCCUPIED","ONLINE_MR_NOTFN_YN","AUTO_FILE_TRANSFER_YN","RELEASE_BED_ON_LEAVE_YN","SECTION_CODE","MR_SECTION_TYPE","MR_SECTION_CODE","LEVEL_OF_CARE_CODE","APPL_PATIENT_CLASS","DFLT_FILE_TYPE_CODE","ALLOW_NEW_BORN_REGN_YN","PHYSICAL_LOCATION","EFF_STATUS","ADDED_BY_ID","ADDED_DATE","ADDED_AT_WS_NO","ADDED_FACILITY_ID","MODIFIED_BY_ID","MODIFIED_DATE","MODIFIED_AT_WS_NO","MODIFIED_FACILITY_ID","FLOOR_WIDTH","FLOOR_HEIGHT"
WK,W9C,"9C Nefrologi Pediatrik","9C Nefrologi",NT04,N,,"030800",NP01,W9C,Y,Y,N,N,Y,N,N,,,,12,"0",3,N,N,N,,C,MR,LC07,IP,PF,N,"9",E,CSCPMS,2016-04-14 16:55:27,CSCMYSAE699393,WK,NORFAEZA,2019-12-25 10:37:20,WI970C11422A,WK,,
WK,NICU,Unit Rawatan Rapi Neonatal,NICU,NT02,N,,"030800",NN01,NICU,Y,Y,N,N,Y,N,N,,,,70,"0",84,N,N,N,,C,MR,LC02,IP,PF,N,"4",E,CSCPMS,2018-07-25 14:36:43,WI653C11076A,WK,NURAFNIDA,2019-12-25 15:02:54,WI439C10841A,WK,,
WK,BMT,Pusat Transplan Sel Stem Pediatrik,SCT,NT04,N,,"030800",HO01,BMT,Y,Y,N,N,Y,N,N,,,,16,"0",21,N,N,N,,C,MR,LC07,IP,PF,N,"4",E,CSCPMS,2018-07-25 14:40:30,WI653C11076A,WK,ADIBAHHANUM,2019-12-23 15:27:19,WI440C10859A,WK,,
WK,BURN,Unit Rawatan Kebakaran,Burn,NT06,N,,"030600",GS07,BURN,Y,Y,N,N,Y,N,N,,,,8,"0",3,N,N,N,,C,MR,LC07,IP,PF,N,"5",E,CSCPMS,2018-07-25 14:43:33,WI653C11076A,WK,TANMEILING,2019-12-25 10:20:17,WI543N30051A,WK,,
WK,W7B,"7B Obstetrik 2","7B Obstetrik 2",NT01,N,,"030700",OB01,W7B,Y,Y,N,N,Y,N,N,,,,138,"0",37,N,N,N,,C,MR,LC05,IP,PF,Y,,E,CSCPMS,2018-11-30 16:16:03,CSCMYSAI698770,WK,FARHANAZAKARIA,2019-12-25 13:30:59,WI760C11344A,WK,,
WK,OHR,Unit Rawatan Rapi Obstetrik,OHR,NT01,N,,"030700",OB01,OHR,Y,Y,N,N,N,N,N,,,,10,"0",8,N,N,N,,C,MR,LC02,IP,PF,Y,,E,CSCPMS,2018-11-30 16:38:57,CSCMYSAI698770,WK,IZZATIUL,2019-12-25 06:27:11,WI437C10830A,WK,,
WK,AICU,Unit Rawatan Rapi (AICU),AICU,NT01,N,,"030700",OB01,AICU,Y,Y,N,N,N,N,N,,,,12,"0",11,N,N,N,,C,MR,LC01,IP,PF,Y,,E,CSCPMS,2018-12-03 16:46:33,CSCMYSAI698770,WK,NURFATIHAH,2019-12-24 19:17:10,WI548C10986A,WK,,
WK,W7C,"7C Obstetrik 3","7C Obstetrik 3",NT01,N,,"030700",OB01,W7C,Y,Y,N,N,Y,N,N,,,,137,"0",53,N,N,N,,C,MR,LC05,IP,PF,Y,,E,CSCPMS,2018-12-03 16:49:45,CSCMYSAI698770,WK,SITINORAZIZAH,2019-12-25 13:38:43,WI761C11351A,WK,,
WK,W7D,"7D Obstetrik 4","7D Obstetrik 4",NT01,N,,"030700",OB01,W7D,Y,Y,N,N,Y,N,N,,,,138,"0",42,N,N,N,,C,MR,LC05,IP,PF,Y,,E,CSCPMS,2018-12-03 16:52:17,CSCMYSAI698770,WK,NORAZURAM,2019-12-25 13:07:40,WI762C11357A,WK,,
WK,W8A,"8A Ginekologi 1","8A Ginekologi 1",NT01,N,,"030700",GY01,W8A,Y,Y,N,N,Y,N,N,,,,38,"0",24,N,N,N,,C,MR,LC04,IP,PF,N,,E,CSCPMS,2018-12-03 16:54:21,CSCMYSAI698770,WK,NASMIRAH,2019-12-25 13:46:21,WI864C11369A,WK,,
